iso3,sea_level_exposure_pop_below_5m_pct,flood_deaths_latest,drought_deaths_latest,wildfire_deaths_latest,heat_deaths_latest,cereal_yield_anomaly_pct_latest,water_stress_pct_latest,freshwater_resources_per_capita_m3_latest,pm25_ug_m3_latest,air_pollution_death_rate_per_100k_latest,nd_gain_readiness_latest,coal_share_latest_pct
CUW,1.68014514768168,,,,,,,,,,,
CYM,17.6167014674732,,,,,,,,,,,0.0
CYP,4.04474158997971,0.0,0.0,2.0,218.0,32.848407337836214,30.48113723,585.862682800424,13.508701890821,15.8,0.513207474334342,0.0
CZE,0.0,0.0,,,544.0,20.337613805886928,21.97384428,1232.18277758923,14.1110711384133,32.5,0.557322209821168,35.227123
DEU,1.99002924234282,12.0,,,6282.0,2.184693076251724,35.35165707,1286.40073765825,10.2876894329414,14.7,0.68161124281923,20.73617
DJI,11.0745910622314,8.0,0.0,,,9.9365635507002,6.333333333,263.829966862956,35.9243304831101,177.9,0.322369580667254,0.0
DMA,12.8568467497055,,,,,13.353995418407225,10.0,2992.84709544189,20.6672998234563,,0.51580929381958,0.0
DNK,12.5703443745095,,0.0,,174.0,-8.224770590243672,25.26636019,1016.42595159068,9.06983927345931,12.9,0.765320334627802,2.6630762
DOM,1.84398033192546,0.0,0.0,0.0,,3.636123292849505,39.55331412,2092.47231748165,19.8267440369685,41.3,0.361979136022354,30.10794
DZA,1.2456681044134,6.0,,34.0,8.0,-11.55178404479008,144.8149712,247.309712525493,25.5526558310447,49.7,0.345662458864351,0.0
